Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI
7.5,9.95,7.85,0.15,90.0,0.2271355725837472,3.1570004211501135,5.198497031265826,4.908971640319756,27.1439627
11.0,9.65,7.7,0.45,205.0,0.18232155679395465,4.151039905898646,6.018593214496234,4.356708826689592,15.78000142
7.5,9.9,7.65,0.55,100.0,0.09531017980432487,3.295836866004329,5.303304908059076,4.629862798578463,20.61243849
8.5,9.65,7.55,0.35,300.0,0.22314355131420976,4.590056548178043,6.398594934535208,5.003946305945459,29.82047541
10.0,9.55,7.8,0.25,190.0,0.1397619423751587,3.8815637979434374,5.942799375126701,4.672828834461906,21.4985693
11.0,9.45,7.75,0.85,222.5,0.262364264467491,4.219507705176107,6.100318952020064,4.590056548178043,19.85719022
9.5,9.55,7.9,0.5,285.0,0.178146185383474,4.324132656254979,6.3473892096560105,5.320567975482857,40.80496483
10.5,9.85,7.7,0.25,145.0,0.10885440491208209,4.110873864173311,5.673323267171493,4.56954300834494,19.4269714
14.5,9.8,7.95,0.25,112.5,0.09531017980432487,3.3141860046725258,5.420534999272286,4.605170185988092,20.12740793
16.5,9.25,7.65,0.25,147.5,0.1397619423751587,4.204692619390966,5.69035945432406,4.722953221644475,22.591965
19.0,8.9,8.2,0.25,120.0,0.11332868530700317,3.6506582412937387,5.484796933490655,5.093750200806762,32.58445704
14.5,8.65,8.05,0.15,100.0,0.1397619423751587,3.1354942159291497,5.303304908059076,4.762173934797756,23.46003155
16.0,9.65,8.05,0.4,485.0,0.3852624007906449,5.2548878086207,6.878326468291325,5.099866427824199,32.85586861
12.25,9.75,8.0,0.3,52.25,0.6418538861723948,1.6094379124341003,4.658710952916121,5.461710913456472,46.99696266
11.25,9.65,7.8,0.3,49.25,0.6626879730752367,1.6094379124341003,4.600157644164547,5.334649295795427,41.43189217
14.25,10.25,7.7,0.25,52.5,0.5306282510621704,1.6193882432872684,4.663439094112067,5.523458920524919,49.9543681
