Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,aluminium,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,contamination_score,risk_label
7.5,9.95,7.85,0.15,90.0,0.2271355725837472,3.1570004211501135,5.198497031265826,4.908971640319756,27.1439627,7.080794504276835,204.8904554713363,20791.318980747023,7.300211873184757,368.51644134980336,564.3086541722439,10.3797830780847,86.9909704615088,2.9631353806316407,0,1.65,0.04,2.85,0.007,0.35,0.83,0.17,0.05,0.2,0.0,0.054,16.08,1.13,0.007,37.75,6.78,0.08,0.34,0.02,0.4337764958635665,0
11.0,9.65,7.7,0.45,205.0,0.18232155679395465,4.151039905898646,6.018593214496234,4.356708826689592,15.78000142,3.71608007538699,129.42292051494425,18630.057857970347,6.635245883862,333.7757766108135,592.8853591348523,15.18001311635726,56.32907628451764,4.500656274942408,0,2.32,0.01,3.31,0.002,5.28,0.68,0.66,0.9,0.65,0.65,0.1,2.01,1.93,0.003,32.26,3.21,0.08,0.27,0.05,0.3993052753661016,0
7.5,9.9,7.65,0.55,100.0,0.09531017980432487,3.295836866004329,5.303304908059076,4.629862798578463,20.61243849,8.099124189298397,224.23625939355776,19909.541732292397,9.275883602694089,333.7757766108135,418.6062130644815,16.868636929550973,66.42009251176368,3.0559337496641685,0,1.01,0.04,0.58,0.008,4.24,0.53,0.02,0.99,0.05,0.003,0.078,14.16,1.11,0.006,50.28,7.07,0.07,0.44,0.01,0.41333514910854163,0
8.5,9.65,7.55,0.35,300.0,0.22314355131420976,4.590056548178043,6.398594934535208,5.003946305945459,29.82047541,8.316765884214679,214.3733940856225,22018.41744077529,8.05933237743854,356.88613564305666,363.2665161642437,18.436524495493305,100.34167436508008,4.628770536837084,0,1.36,0.04,2.96,0.001,7.23,0.03,1.66,1.08,0.71,0.71,0.016,1.41,1.29,0.004,9.12,1.72,0.02,0.45,0.05,0.4418010767990743,0
10.0,9.55,7.8,0.25,190.0,0.1397619423751587,3.8815637979434374,5.942799375126701,4.672828834461906,21.4985693,9.092223456290965,181.10150923612525,17978.98633892625,6.546599974207941,310.13573752420444,398.4108133818447,11.558279443446397,31.997992727424737,4.075075425430034,0,0.92,0.03,0.2,0.006,2.67,0.69,0.57,0.61,0.13,0.001,0.117,6.74,1.11,0.003,16.9,2.41,0.02,0.06,0.02,0.4162688453211434,0
11.0,9.45,7.75,0.85,222.5,0.262364264467491,4.219507705176107,6.100318952020064,4.590056548178043,19.85719022,5.584086638456089,188.3133237696164,28748.68773904612,7.54486878877965,326.6783629116736,280.4679159334877,8.399734640152758,54.91786184199447,2.5597082275565217,0,0.94,0.03,2.88,0.003,0.8,0.43,1.38,0.11,0.67,0.67,0.135,9.75,1.89,0.006,27.17,5.42,0.08,0.19,0.02,0.4120637675564406,0
9.5,9.55,7.9,0.5,285.0,0.178146185383474,4.324132656254979,6.3473892096560105,5.320567975482857,40.80496483,10.223862164528772,248.07173527013992,28749.716543528237,7.5134084658313025,393.66339551509645,283.6516335078445,13.789695317519886,84.60355617402357,2.672988736934779,0,2.36,0.01,1.35,0.004,1.28,0.62,1.88,0.33,0.13,0.007,0.021,18.6,1.78,0.007,45.34,2.84,0.1,0.24,0.08,0.47454788519739743,0
10.5,9.85,7.7,0.25,145.0,0.10885440491208209,4.110873864173311,5.673323267171493,4.56954300834494,19.4269714,8.635848718500734,203.3615225845705,13672.091763901635,4.563008685599703,303.3097711592812,474.6076449424485,12.36381669870525,62.79830896292516,4.401424715445482,0,3.93,0.04,0.66,0.001,6.22,0.1,1.86,0.86,0.16,0.005,0.197,13.65,1.81,0.001,53.35,7.24,0.08,0.08,0.07,0.40984794923114143,0
14.5,9.8,7.95,0.25,112.5,0.09531017980432487,3.3141860046725258,5.420534999272286,4.605170185988092,20.12740793,7.080794504276835,118.98857909025187,14285.583854224516,7.804173553073094,268.646940746221,389.3755658712614,12.70604896865791,53.92884576751224,3.5950171809576155,0,0.6,0.01,0.71,0.005,3.14,0.77,1.45,0.98,0.35,0.002,0.167,14.66,1.84,0.004,23.43,4.99,0.08,0.25,0.08,0.4118751189060236,0
16.5,9.25,7.65,0.25,147.5,0.1397619423751587,4.204692619390966,5.69035945432406,4.722953221644475,22.591965,11.180284470721592,227.23146923797455,25484.50849098786,9.077200016914391,404.04163468409,563.8854814810949,17.92780641128502,71.97660103221915,4.370561936655497,0,0.22,0.02,1.37,0.007,6.4,0.49,0.82,1.24,0.83,0.83,0.109,4.79,1.46,0.01,30.42,0.08,0.03,0.31,0.01,0.4195590572985799,0
